Campaign ID,Timestamp,Date,InventoryType,Ad Type,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC
121999,2014-09-05-03,9/5/2014,Format6,Inter219,"4,015","2,217",581,81,11.57,35,7.52,13.94%,$19.92,$0.14
122000,2014-09-05-08,9/5/2014,Format4,Inter220,"17,201","9,207",3506,409,75.99,35,49.4,11.67%,$21.68,$0.19
122001,2014-09-05-16,9/5/2014,Format4,Inter221,"43,703","22,248",5718,443,45.47,35,29.55,7.75%,$7.95,$0.10
122002,2014-09-05-01,9/5/2014,Format1,Inter218,633,93,93,0,0,35,0,0.00%,$0.00,$0.00
122003,2014-09-05-10,9/5/2014,Format4,Inter222,"15,333","9,000",2829,372,55.35,35,35.98,13.15%,$19.56,$0.15
122004,2014-09-05-04,9/5/2014,Format4,Inter223,"1,162",735,315,46,5.82,35,3.78,14.60%,$18.46,$0.13
122005,2014-09-05-09,9/5/2014,Format1,Inter219,"1,527",234,232,0,0,35,0,0.00%,$0.00,$0.00
122006,2014-09-05-05,9/5/2014,Format1,Inter220,552,88,88,0,0,35,0,0.00%,$0.00,$0.00
122007,2014-09-05-06,9/5/2014,Format4,Inter224,"7,430","3,966",1639,167,32.78,35,21.31,10.19%,$20.00,$0.20
122008,2014-09-05-11,9/5/2014,Format4,Inter225,"16,331","9,115",2604,297,46.25,35,30.06,11.41%,$17.76,$0.16
122009,2014-09-04-21,9/4/2014,Format1,Inter221,"2,230",380,380,1,0.05,35,0.03,0.26%,$0.12,$0.05
122010,2014-09-03-21,9/3/2014,Format1,Inter222,"1,838",311,308,1,0.05,35,0.03,0.32%,$0.16,$0.05
122011,2014-09-04-13,9/4/2014,Format1,Inter223,"1,150",148,145,0,0,35,0,0.00%,$0.00,$0.00
122012,2014-09-04-16,9/4/2014,Format1,Inter224,"1,689",330,329,1,0.07,35,0.04,0.30%,$0.20,$0.07
122013,2014-09-04-11,9/4/2014,Format1,Inter225,"1,060",136,135,0,0,35,0,0.00%,$0.00,$0.00
122014,2014-09-04-10,9/4/2014,Format1,Inter226,"1,502",186,184,0,0,35,0,0.00%,$0.00,$0.00
122015,2014-09-04-04,9/4/2014,Format4,Inter226,"1,401",771,278,26,5.51,35,3.58,9.35%,$19.81,$0.21
122016,2014-09-04-08,9/4/2014,Format1,Inter227,"1,576",266,266,0,0,35,0,0.00%,$0.00,$0.00
122017,2014-09-03-20,9/3/2014,Format1,Inter228,"2,430",497,495,1,0,35,0,0.20%,$0.00,$0.00
122018,2014-09-04-05,9/4/2014,Format4,Inter227,"2,030","1,206",497,54,7.24,35,4.71,10.87%,$14.58,$0.13
122019,2014-09-04-02,9/4/2014,Format1,Inter229,615,92,91,0,0,35,0,0.00%,$0.00,$0.00
122020,2014-09-03-23,9/3/2014,Format1,inter230,"1,535",259,247,0,0,35,0,0.00%,$0.00,$0.00
122021,2014-09-04-15,9/4/2014,Format1,Inter217,"1,218",242,242,1,0,35,0,0.41%,$0.00,$0.00
122022,2014-09-04-19,9/4/2014,Format1,Inter218,"1,804",334,328,0,0,35,0,0.00%,$0.00,$0.00
122023,2014-09-05-02,9/5/2014,Format4,Inter228,"4,079","1,647",537,69,10.75,35,6.99,12.85%,$20.02,$0.16
122024,2014-09-05-16,9/5/2014,Format1,Inter219,"1,689",270,269,0,0,35,0,0.00%,$0.00,$0.00
122025,2014-09-04-20,9/4/2014,Format1,Inter220,"2,428",320,319,0,0,35,0,0.00%,$0.00,$0.00
122026,2014-09-05-11,9/5/2014,Format1,Inter221,"1,117",161,160,0,0,35,0,0.00%,$0.00,$0.00
122027,2014-09-06-10,9/6/2014,Format2,Inter225,"14,297,697","8,550,788",8245497,17961,16500.07,23,12705.05,0.22%,$2.00,$0.92
122028,2014-09-06-15,9/6/2014,Format3,inter230,"1,701,609","837,398",794800,4583,1590.57,35,1033.87,0.58%,$2.00,$0.35
122029,2014-09-05-22,9/5/2014,Format3,Inter217,"3,535,760","1,225,488",1135723,6337,1317.24,35,856.21,0.56%,$1.16,$0.21
122030,2014-09-06-15,9/6/2014,Format3,Inter218,"2,648,114","1,087,346",1010383,6034,1588.55,35,1032.56,0.60%,$1.57,$0.26
122031,2014-09-05-23,9/5/2014,Format1,Inter222,"4,202,519","2,247,620",2216194,5176,2835.2,35,1842.88,0.23%,$1.28,$0.55
122032,2014-09-05-19,9/5/2014,Format1,Inter223,"5,073,966","2,715,270",2679593,6736,4138.81,33,2773,0.25%,$1.54,$0.61
122033,2014-09-05-18,9/5/2014,Format1,Inter224,"5,829,601","3,757,434",3672484,8476,4528.72,33,3034.25,0.23%,$1.23,$0.53
122034,2014-09-05-17,9/5/2014,Format3,Inter219,"2,749,806","1,243,596",1158632,7204,2056.51,35,1336.73,0.62%,$1.77,$0.29
122035,2014-09-06-13,9/6/2014,Format2,Inter226,"15,604,935","9,153,171",8798371,18440,15251.86,23,11743.93,0.21%,$1.73,$0.83
122036,2014-09-06-06,9/6/2014,Format1,Inter225,"2,634,891","1,705,392",1655429,4327,2894.42,35,1881.37,0.26%,$1.75,$0.67
122037,2014-09-06-11,9/6/2014,Format2,Inter227,"15,273,691","8,975,656",8636782,18699,15901.6,23,12244.23,0.22%,$1.84,$0.85
122038,2014-09-06-07,9/6/2014,Format3,Inter220,"1,798,720","901,332",842611,5109,2329.77,35,1514.35,0.61%,$2.76,$0.46
122039,2014-09-05-22,9/5/2014,Format1,Inter226,"5,854,160","3,063,588",3020501,7446,4113.48,33,2756.03,0.25%,$1.36,$0.55
122040,2014-09-05-19,9/5/2014,Format7,Inter221,"18,165,647","10,493,246",10104335,20737,14931.21,25,11198.41,0.21%,$1.48,$0.72
122041,2014-09-06-03,9/6/2014,Format7,Inter222,"2,329,321","1,425,325",1360423,1548,2120.09,35,1378.06,0.11%,$1.56,$1.37
122042,2014-09-05-22,9/5/2014,Format7,Inter223,"6,940,386","4,318,895",4230468,10003,4572.61,33,3063.65,0.24%,$1.08,$0.46
122043,2014-09-05-21,9/5/2014,Format7,Inter224,"1,134,139","820,619",695669,92925,8641.66,27,6308.41,13.36%,$12.42,$0.09
122044,2014-09-06-10,9/6/2014,Format7,Inter225,"728,491","622,301",531742,69766,8522.79,27,6221.64,13.12%,$16.03,$0.12
