external_ref,status,source,ref,date_time,state,cvv_provided,amount,country,currency,rates
nCyEIIGaP5QQ2Wqb-_Rt8,TRUE,GLOBALPAY,evt_1ESgcCOV7fY1ChY1MkZizZt,2019-01-01T00:00:00.000Z,DECLINED,FALSE,1020.46,US,USD,"{""CAD"":1.415,""EUR"":0.926,""MXN"":25.103,""USD"":1,""SGD"":1.434,""AUD"":1.648,""GBP"":0.813}"
ptNiI9B7NNpK7VsMZx6zZ,TRUE,GLOBALPAY,evt_1EBMGCEjEtianKMJaZXOx1y,2019-01-01T04:48:00.000Z,ACCEPTED,FALSE,1582.57,US,USD,"{""CAD"":1.415,""EUR"":0.926,""MXN"":25.103,""USD"":1,""SGD"":1.434,""AUD"":1.648,""GBP"":0.813}"
1GS5BDKBnauCt-3nHPs6x,TRUE,GLOBALPAY,evt_1EOALu0AZqEhZBn9ub_nbcE,2019-01-01T09:36:00.000Z,DECLINED,FALSE,1653.07,US,USD,"{""CAD"":1.415,""EUR"":0.926,""MXN"":25.103,""USD"":1,""SGD"":1.434,""AUD"":1.648,""GBP"":0.813}"
Y_oecYz8GjBDaxmMqkkLQ,TRUE,GLOBALPAY,evt_1ESHsWyaSPqE1mrmJ2B6rvs,2019-01-01T14:24:00.000Z,ACCEPTED,FALSE,2228.17,US,USD,"{""CAD"":1.415,""EUR"":0.926,""MXN"":25.103,""USD"":1,""SGD"":1.434,""AUD"":1.648,""GBP"":0.813}"
LlEs1TnKVa2xX6PH9Zsz0,TRUE,GLOBALPAY,evt_1EjzPk13qLzmvDR_4hXuMMw,2019-01-01T19:12:00.000Z,ACCEPTED,FALSE,2589.92,US,USD,"{""CAD"":1.415,""EUR"":0.926,""MXN"":25.103,""USD"":1,""SGD"":1.434,""AUD"":1.648,""GBP"":0.813}"
XMiBCl0zkTGdVu_IgKNbS,TRUE,GLOBALPAY,evt_1ESWbgipcFeU4B6eW5kWMgn,2019-01-01T00:00:00.000Z,ACCEPTED,FALSE,1509.12,MX,MXN,"{""CAD"":1.4150668250112406,""EUR"":0.9247504902895055,""MXN"":25.09984809423505,""USD"":1,""SGD"":1.4386656744040172,""AUD"":1.6522932076675718,""GBP"":0.8176652602309986}"
unSNmffbtST60mDH0WpUc,TRUE,GLOBALPAY,evt_1Exxzo9M0d271kmuX5kNmRL,2019-01-01T04:48:00.000Z,ACCEPTED,FALSE,1923.13,MX,MXN,"{""CAD"":1.4150668250112406,""EUR"":0.9247504902895055,""MXN"":25.09984809423505,""USD"":1,""SGD"":1.4386656744040172,""AUD"":1.6522932076675718,""GBP"":0.8176652602309986}"
-vovSFhnOpqTQVOm2MFme,TRUE,GLOBALPAY,evt_1ERnu8szlZndncFl6bunEBM,2019-01-01T09:36:00.000Z,ACCEPTED,FALSE,1847.42,MX,MXN,"{""CAD"":1.4150668250112406,""EUR"":0.9247504902895055,""MXN"":25.09984809423505,""USD"":1,""SGD"":1.4386656744040172,""AUD"":1.6522932076675718,""GBP"":0.8176652602309986}"
lTsAIkKdGo7Y009yqBCpd,TRUE,GLOBALPAY,evt_1EOiOA5A29jldBS0TfJ15I-,2019-01-01T14:24:00.000Z,DECLINED,FALSE,2270.79,MX,MXN,"{""CAD"":1.4150668250112406,""EUR"":0.9247504902895055,""MXN"":25.09984809423505,""USD"":1,""SGD"":1.4386656744040172,""AUD"":1.6522932076675718,""GBP"":0.8176652602309986}"
b8bt9Cxmr1FcWw0_D-Fu0,TRUE,GLOBALPAY,evt_1E30OuikKUAYMIFg92oxAH_,2019-01-01T19:12:00.000Z,ACCEPTED,FALSE,2134.27,MX,MXN,"{""CAD"":1.4150668250112406,""EUR"":0.9247504902895055,""MXN"":25.09984809423505,""USD"":1,""SGD"":1.4386656744040172,""AUD"":1.6522932076675718,""GBP"":0.8176652602309986}"
d676rW95fMDkNnVSwOHX9,TRUE,GLOBALPAY,evt_1E_OogmiTDXE5VZumnVWkWL,2019-01-01T00:00:00.000Z,ACCEPTED,FALSE,92.02,UK,GBP,"{""CAD"":1.4173511828553305,""EUR"":0.9225797497549879,""MXN"":25.098124751855323,""USD"":1,""SGD"":1.4342232652777973,""AUD"":1.656777771144169,""GBP"":0.8220252316047373}"
SPm_aqm_Rrer_6jxpLvO2,TRUE,GLOBALPAY,evt_1EhCNv4mRDFQzT2r2O5Cy5G,2019-01-01T04:48:00.000Z,ACCEPTED,FALSE,-23.78,UK,GBP,"{""CAD"":1.4173511828553305,""EUR"":0.9225797497549879,""MXN"":25.098124751855323,""USD"":1,""SGD"":1.4342232652777973,""AUD"":1.656777771144169,""GBP"":0.8220252316047373}"
