external_ref,status,source,chargeback
_-UTDS0dMlagMWEtQKMy-,TRUE,GLOBALPAY,FALSE
_0fqf75KiPa0iiviKCSsU,TRUE,GLOBALPAY,FALSE
_0H9Ecd_RctsLetId-p14,TRUE,GLOBALPAY,FALSE
_0wBrMzAzIhO3fQRWUcBH,TRUE,GLOBALPAY,FALSE
_25jZuGDrmwUEdAwKp1xV,TRUE,GLOBALPAY,FALSE
_2TnPB1sTeVMRGgPeJgPq,TRUE,GLOBALPAY,FALSE
_37I67fDT_R1JwRLapxub,TRUE,GLOBALPAY,FALSE
_3bP0LK5iGNfoDqsSVH6d,TRUE,GLOBALPAY,FALSE
_41mGNzXrD15Tlma3Wss5,TRUE,GLOBALPAY,FALSE
_4LpGZpMKfnF2-qy2s4xE,TRUE,GLOBALPAY,FALSE
_5MHWIEhKFmt2XRCWEng-,TRUE,GLOBALPAY,FALSE
_7HYjiX_2LU3XGDw3eR7Q,TRUE,GLOBALPAY,FALSE
_8gs3jpOWa3PNWcAAZdk_,TRUE,GLOBALPAY,FALSE
_9_pyoZGFtyiJJBxQ_dcv,TRUE,GLOBALPAY,FALSE
_Ad1I-XvqVgP6CjhrMqQP,TRUE,GLOBALPAY,FALSE
_ADOn_-E3rWv-EQGjd7MN,TRUE,GLOBALPAY,FALSE
_aV7Yz6Fk6ALRHPAiCutJ,TRUE,GLOBALPAY,FALSE
_BGaoAXp-aLm6vJGVt2g6,TRUE,GLOBALPAY,FALSE
_bJk9E6LfFnOm2PpH-tmj,TRUE,GLOBALPAY,FALSE
_byyfOJZcIuNBqPRPZQeb,TRUE,GLOBALPAY,FALSE
_CFMkDMzLNbLt429mA5FF,TRUE,GLOBALPAY,FALSE
_cXgmk1M1FLw0FGRPWzHy,TRUE,GLOBALPAY,FALSE
_DMEpE0EMJ_8SCQbOops5,TRUE,GLOBALPAY,FALSE
_E-wU9inBJk4UZVBU-LVA,TRUE,GLOBALPAY,FALSE
_F_UZ5tMYtyq_dfJIc73l,TRUE,GLOBALPAY,FALSE
_fCFoDQH630Zzc1CY9bTb,TRUE,GLOBALPAY,FALSE
_fHiHOMRxsefJ_bg8Ue4Q,TRUE,GLOBALPAY,FALSE
_FZv9nQt9bnZAcovcnZ6i,TRUE,GLOBALPAY,FALSE
_g4h28_oBFxKbfo4eGzro,TRUE,GLOBALPAY,FALSE
_G5i3ahRBvttlAyukzPtG,TRUE,GLOBALPAY,FALSE
_g8eEbt8kXOs0IRxDsR0c,TRUE,GLOBALPAY,FALSE
_GKgD6nnavJg2j1OB9RX7,TRUE,GLOBALPAY,FALSE
_hbuPYfgDhdZc5XdGn_-Z,TRUE,GLOBALPAY,FALSE
_hNGYDZcRx8AUCCPYXRNA,TRUE,GLOBALPAY,FALSE
_HOF3E4XE_k_OrNK2oTqZ,TRUE,GLOBALPAY,FALSE
_jxCcBoxIak9XkMEDB7oY,TRUE,GLOBALPAY,FALSE
_k_sjh1ptYzRIfFG_neuB,TRUE,GLOBALPAY,FALSE
_k2C_LyUs0T2oO_PyHoIH,TRUE,GLOBALPAY,FALSE
_kqj3Qy6S6RmUDr3y8Gh6,TRUE,GLOBALPAY,FALSE
_kTvqf3YbSe2gtjKHsDmo,TRUE,GLOBALPAY,FALSE
_MFEdDPn5P80_rkbjuAg7,TRUE,GLOBALPAY,FALSE
_n1JVQ-sQthlzCVBuVp__,TRUE,GLOBALPAY,FALSE
_nJjXUR6c6siLFrmxGNyw,TRUE,GLOBALPAY,FALSE
_nNlDiPl6UfQVXxNpFird,TRUE,GLOBALPAY,FALSE
_NYOklFJMAJAmhtcPMjWE,TRUE,GLOBALPAY,FALSE
_OEAhI1qdCFmwrH4On9NY,TRUE,GLOBALPAY,FALSE
_orD_q8g3tlLybPlhdkrw,TRUE,GLOBALPAY,FALSE
_oS_QRjCblsDZbL0yiMxZ,TRUE,GLOBALPAY,FALSE
_OZPZ7i0dmeKJFDBtjvFF,TRUE,GLOBALPAY,FALSE
_PfeZllHQI3MQxuzAbVDC,TRUE,GLOBALPAY,FALSE
_pUDicFuOU-gJRAz6SV0v,TRUE,GLOBALPAY,FALSE
_Q_w29ajd2xa1QGueGngg,TRUE,GLOBALPAY,FALSE
