Date,Daily Confirmed,False Positives Found,Cumulative Confirmed,Daily Discharged,Passed but not due to COVID,Cumulative Discharged,Discharged to Isolation,Still Hospitalised,Daily Deaths,Cumulative Deaths,Tested positive demise,Daily Imported,Daily Local transmission,Local cases residing in dorms MOH report,Local cases not residing in doms MOH report,Intensive Care Unit (ICU),General Wards MOH report,In Isolation MOH report,Total Completed Isolation MOH report,Total Hospital Discharged MOH report,Requires Oxygen Supplementation or Unstable,Linked community cases,Unlinked community cases,Phase,Cumulative Vaccine Doses,Cumulative Individuals Vaccinated,Cumulative Individuals Vaccination Completed,Perc population completed at least one dose,Perc population completed vaccination,Sinovac vaccine doses,Cumulative individuals using Sinovac vaccine,Doses of other vaccines recognised by WHO,Cumulative individuals using other vaccines recognised by WHO,Number taken booster shots,Perc population taken booster shots
1/23/2020,1,,1,0,0,0,0,1,0,0,0,1,0,,,0,,,,,,,,,,,,,,,,,,,
1/24/2020,2,,3,0,0,0,0,3,0,0,0,2,0,,,0,,,,,,,,,,,,,,,,,,,
1/25/2020,1,,4,0,0,0,0,4,0,0,0,1,0,,,0,,,,,,,,,,,,,,,,,,,
1/26/2020,0,,4,0,0,0,0,4,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,
1/27/2020,1,,5,0,0,0,0,5,0,0,0,1,0,,,0,,,,,,,,,,,,,,,,,,,
1/28/2020,2,,7,0,0,0,0,7,0,0,0,2,0,,,0,,,,,,,,,,,,,,,,,,,
1/29/2020,3,,10,0,0,0,0,10,0,0,0,3,0,,,0,,,,,,,,,,,,,,,,,,,
1/30/2020,3,,13,0,0,0,0,13,0,0,0,3,0,,,0,,,,,,,,,,,,,,,,,,,
1/31/2020,3,,16,0,0,0,0,16,0,0,0,3,0,,,0,,,,,,,,,,,,,,,,,,,
2/1/2020,2,,18,0,0,0,0,18,0,0,0,2,0,,,0,,,,,,,,,,,,,,,,,,,
2/2/2020,0,,18,0,0,0,0,18,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,
2/3/2020,0,,18,0,0,0,0,18,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,
2/4/2020,6,,24,1,0,1,0,23,0,0,0,2,4,,,0,,,,,,,,,,,,,,,,,,,
2/5/2020,4,,28,0,0,1,0,27,0,0,0,1,3,,,0,,,,,,,,,,,,,,,,,,,
2/6/2020,2,,30,0,0,1,0,29,0,0,0,0,2,,,1,,,,,,,,,,,,,,,,,,,
2/7/2020,3,,33,1,0,2,0,31,0,0,0,0,3,,,2,,,,,,,,,,,,,,,,,,,
2/8/2020,7,,40,0,0,2,0,38,0,0,0,0,7,,,4,,,,,,,,,,,,,,,,,,,
2/9/2020,3,,43,4,0,6,0,37,0,0,0,0,3,,,6,,,,,,,,,,,,,,,,,,,
2/10/2020,2,,45,1,0,7,0,38,0,0,0,1,1,,,7,,,,,,,,,,,,,,,,,,,
2/11/2020,2,,47,2,0,9,0,38,0,0,0,0,2,,,7,,,,,,,,,,,,,,,,,,,
2/12/2020,3,,50,6,0,15,0,35,0,0,0,0,3,,,8,,,,,,,,,,,,,,,,,,,
2/13/2020,8,,58,0,0,15,0,43,0,0,0,0,8,,,7,,,,,,,,,,,,,,,,,,,
2/14/2020,9,,67,2,0,17,0,50,0,0,0,0,9,,,6,,,,,,,,,,,,,,,,,,,
2/15/2020,5,,72,1,0,18,0,54,0,0,0,0,5,,,6,,,,,,,,,,,,,,,,,,,
2/16/2020,3,,75,1,0,19,0,56,0,0,0,0,3,,,5,,,,,,,,,,,,,,,,,,,
2/17/2020,2,,77,5,0,24,0,53,0,0,0,1,1,,,4,,,,,,,,,,,,,,,,,,,
2/18/2020,4,,81,5,0,29,0,52,0,0,0,0,4,,,4,,,,,,,,,,,,,,,,,,,
2/19/2020,3,,84,5,0,34,0,50,0,0,0,0,3,,,4,,,,,,,,,,,,,,,,,,,
2/20/2020,1,,85,3,0,37,0,48,0,0,0,0,1,,,4,,,,,,,,,,,,,,,,,,,
2/21/2020,1,,86,10,0,47,0,39,0,0,0,0,1,,,5,,,,,,,,,,,,,,,,,,,
2/22/2020,3,,89,2,0,49,0,40,0,0,0,1,2,,,5,,,,,,,,,,,,,,,,,,,
2/23/2020,0,,89,2,0,51,0,38,0,0,0,0,0,,,5,,,,,,,,,,,,,,,,,,,
2/24/2020,1,,90,2,0,53,0,37,0,0,0,0,1,,,7,,,,,,,,,,,,,,,,,,,
2/25/2020,1,,91,5,0,58,0,33,0,0,0,0,1,,,7,,,,,,,,,,,,,,,,,,,
2/26/2020,2,,93,4,0,62,0,31,0,0,0,0,2,,,7,,,,,,,,,,,,,,,,,,,
2/27/2020,3,,96,4,0,66,0,30,0,0,0,0,3,,,8,,,,,,,,,,,,,,,,,,,
2/28/2020,2,,98,3,0,69,0,29,0,0,0,0,2,,,7,,,,,,,,,,,,,,,,,,,
2/29/2020,4,,102,3,0,72,0,30,0,0,0,0,4,,,7,,,,,,,,,,,,,,,,,,,
3/1/2020,4,,106,2,0,74,0,32,0,0,0,0,4,,,7,,,,,,,,,,,,,,,,,,,
3/2/2020,2,,108,4,0,78,0,30,0,0,0,0,2,,,6,,,,,,,,,,,,,,,,,,,
3/3/2020,2,,110,0,0,78,0,32,0,0,0,0,2,,,7,,,,,,,,,,,,,,,,,,,
3/4/2020,2,,112,1,0,79,0,33,0,0,0,0,2,,,7,,,,,,,,,,,,,,,,,,,
3/5/2020,5,,117,2,0,81,0,36,0,0,0,1,4,,,7,,,,,,,,,,,,,,,,,,,
3/6/2020,13,,130,1,0,82,0,48,0,0,0,2,11,,,9,,,,,,,,,,,,,,,,,,,
3/7/2020,8,,138,8,0,90,0,48,0,0,0,2,6,,,8,,,,,,,,,,,,,,,,,,,
3/8/2020,12,,150,0,0,90,0,60,0,0,0,1,11,,,9,,,,,,,,,,,,,,,,,,,
3/9/2020,10,,160,3,0,93,0,67,0,0,0,3,7,,,10,,,,,,,,,,,,,,,,,,,
3/10/2020,6,,166,0,0,93,0,73,0,0,0,0,6,,,12,,,,,,,,,,,,,,,,,,,
3/11/2020,12,,178,3,0,96,0,82,0,0,0,8,4,,,9,,,,,,,,,,,,,,,,,,,
3/12/2020,9,,187,0,0,96,0,91,0,0,0,5,4,,,9,,,,,,,,,,,,,,,,,,,
3/13/2020,13,,200,1,0,97,0,103,0,0,0,9,4,,,11,,,,,,,,,,,,,,,,,,,
3/14/2020,12,,212,8,0,105,0,107,0,0,0,9,3,,,14,,,,,,,,,,,,,,,,,,,
3/15/2020,14,,226,0,0,105,0,121,0,0,0,9,5,,,13,,,,,,,,,,,,,,,,,,,
3/16/2020,17,,243,4,0,109,0,134,0,0,0,11,6,,,13,,,,,,,,,,,,,,,,,,,
3/17/2020,23,,266,5,0,114,0,152,0,0,0,17,6,,,14,,,,,,,,,,,,,,,,,,,
3/18/2020,47,,313,3,0,117,0,196,0,0,0,33,14,,,15,,,,,,,,,,,,,,,,,,,
