Entity,Code,Year,Biofuels Production - TWh - Total
Africa,,1990,0.0686167227777777
Africa,,1991,0.0686167227777777
Africa,,1992,0.0688047138888888
Africa,,1993,0.0686167227777777
Africa,,1994,0.0686167227777777
Africa,,1995,0.0686167227777777
Africa,,1996,0.0688047138888888
Africa,,1997,0.1029250841666666
Africa,,1998,0.1029250841666666
Africa,,1999,0.0686167227777777
Africa,,2000,0.0688047138888888
Africa,,2001,0.0686167227777777
Africa,,2002,0.3206976436111111
Africa,,2003,0.3312829466666667
Africa,,2004,0.3654316344444445
Africa,,2005,0.4199925380555556
Africa,,2006,0.4483933155555555
Africa,,2007,0.4541632622222222
Africa,,2008,0.5273259055555556
Africa,,2009,3.145031061111111
Africa,,2010,1.111039671388889
Africa,,2011,1.2481382927777778
Africa,,2012,1.2687388347222224
Africa,,2013,1.2936755933333337
Africa,,2014,1.4564378088888892
Africa,,2015,1.7940972433333335
Africa,,2016,1.8495202297222224
Africa,,2017,1.4983620022222222
Africa,,2018,1.6930877094444443
Africa,,2019,1.6997176688888889
Africa,,2020,1.704374429722222
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0
Argentina,ARG,1999,0
Argentina,ARG,2000,0.053206035
Argentina,ARG,2001,0.1061213263888889
Argentina,ARG,2002,0.1061213263888889
Argentina,ARG,2003,0.1061213263888889
Argentina,ARG,2004,0.1064120697222222
Argentina,ARG,2005,0.1061213263888889
Argentina,ARG,2006,0.3526723405555556
Argentina,ARG,2007,2.007858026666667
Argentina,ARG,2008,7.112290452777779
Argentina,ARG,2009,11.965087494444443
Argentina,ARG,2010,19.893944227777776
Argentina,ARG,2011,25.844815494444443
Argentina,ARG,2012,26.50253736388889
Argentina,ARG,2013,23.838685108333333
Argentina,ARG,2014,30.58442388888889
Argentina,ARG,2015,23.461844541666668
Argentina,ARG,2016,32.768284305555554
Argentina,ARG,2017,36.23187022222223
Argentina,ARG,2018,31.703428666666667
Argentina,ARG,2019,28.55002880555556
Argentina,ARG,2020,17.103284072222223
Asia Pacific,,1990,0
Asia Pacific,,1991,0
Asia Pacific,,1992,0
Asia Pacific,,1993,0
Asia Pacific,,1994,0
Asia Pacific,,1995,0
Asia Pacific,,1996,0
Asia Pacific,,1997,0
Asia Pacific,,1998,0
Asia Pacific,,1999,0
Asia Pacific,,2000,0.9976683502777778
Asia Pacific,,2001,1.082311505
Asia Pacific,,2002,2.876958430555556
Asia Pacific,,2003,6.540716516666667
Asia Pacific,,2004,6.598372647222222
Asia Pacific,,2005,10.475127683333334
Asia Pacific,,2006,17.08787223611111
Asia Pacific,,2007,23.55890147222222
Asia Pacific,,2008,37.82222038888889
Asia Pacific,,2009,39.22726775
Asia Pacific,,2010,42.27696627777778
Asia Pacific,,2011,67.80626644444445
Asia Pacific,,2012,81.81829433333333
Asia Pacific,,2013,98.08588561111112
Asia Pacific,,2014,118.49936172222225
Asia Pacific,,2015,98.61999122222224
Asia Pacific,,2016,111.85079447222222
Asia Pacific,,2017,116.34803530555556
Asia Pacific,,2018,152.82782086111112
Asia Pacific,,2019,189.88606186111116
Asia Pacific,,2020,192.58766325
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0
Australia,AUS,1994,0
Australia,AUS,1995,0
Australia,AUS,1996,0
Australia,AUS,1997,0
Australia,AUS,1998,0
Australia,AUS,1999,0
Australia,AUS,2000,0
Australia,AUS,2001,0
Australia,AUS,2002,0
Australia,AUS,2003,0.535323085
Australia,AUS,2004,0.3218090258333333
Australia,AUS,2005,0.3200598283333333
Australia,AUS,2006,0.5920586819444446
Australia,AUS,2007,1.1593292305555556
Australia,AUS,2008,1.879363336944445
Australia,AUS,2009,2.695125883611111
Australia,AUS,2010,2.101781891666667
Australia,AUS,2011,2.5427175475
Australia,AUS,2012,2.6933993316666665
Australia,AUS,2013,2.8458918916666667
Australia,AUS,2014,2.9899480722222225
Australia,AUS,2015,2.6403355283333334
Australia,AUS,2016,1.4622646233333334
Australia,AUS,2017,1.2355340891666668
Australia,AUS,2018,1.5035334830555558
Australia,AUS,2019,1.7374654183333336
Australia,AUS,2020,1.663460706388889
Austria,AUT,1990,0.073269
Austria,AUT,1991,0.080247
Austria,AUT,1992,0.089551
Austria,AUT,1993,0.101181
Austria,AUT,1994,0.067454
Austria,AUT,1995,0.130256
Austria,AUT,1996,0.1418859999999999
Austria,AUT,1997,0.1535159999999999
