Entity,Code,Year,Geothermal Capacity
Africa,,1990,45
Africa,,1995,45
Africa,,2000,65.3
Africa,,2001,65.3
Africa,,2002,65.3
Africa,,2003,65.3
Africa,,2004,135.3
Africa,,2005,135.3
Africa,,2006,135.3
Africa,,2007,135.3
Africa,,2008,135.3
Africa,,2009,170.3
Africa,,2010,205.3
Africa,,2011,205.3
Africa,,2012,212.8
Africa,,2013,212.8
Africa,,2014,373.4
Africa,,2015,611.3
Africa,,2016,645.3
Africa,,2017,655.3
Africa,,2018,671.3
Africa,,2019,831.3
Africa,,2020,831
Asia Pacific,,1990,1393.4
Asia Pacific,,1995,1859.5
Asia Pacific,,2000,3344.7
Asia Pacific,,2001,3603.7
Asia Pacific,,2002,3559.7
Asia Pacific,,2003,3592.6
Asia Pacific,,2004,3607.6
Asia Pacific,,2005,3722.7
Asia Pacific,,2006,3719.6
Asia Pacific,,2007,3887.6
Asia Pacific,,2008,4104.7
Asia Pacific,,2009,4284.7
Asia Pacific,,2010,4384
Asia Pacific,,2011,4417.7
Asia Pacific,,2012,4502.7
Asia Pacific,,2013,4582
Asia Pacific,,2014,4833.549999999999
Asia Pacific,,2015,4892.85
Asia Pacific,,2016,4997.85
Asia Pacific,,2017,5227.85
Asia Pacific,,2018,5391.85
Asia Pacific,,2019,5617.6
Asia Pacific,,2020,5650
CIS,,2000,23
CIS,,2001,21
CIS,,2002,70
CIS,,2003,70
CIS,,2004,56
CIS,,2005,79
CIS,,2006,87
CIS,,2007,90
CIS,,2008,80
CIS,,2009,81
CIS,,2010,81
CIS,,2011,81
CIS,,2012,81
CIS,,2013,79
CIS,,2014,78
CIS,,2015,78
CIS,,2016,78
CIS,,2017,78
CIS,,2018,78
CIS,,2019,74
CIS,,2020,74
Chile,CHL,1990,0
Chile,CHL,1995,0
Chile,CHL,2000,0
Chile,CHL,2001,0
Chile,CHL,2002,0
Chile,CHL,2003,0
Chile,CHL,2004,0
Chile,CHL,2005,0
Chile,CHL,2006,0
Chile,CHL,2007,0
Chile,CHL,2008,0
Chile,CHL,2009,0
Chile,CHL,2010,0
Chile,CHL,2011,0
Chile,CHL,2012,0
Chile,CHL,2013,0
Chile,CHL,2014,0
Chile,CHL,2015,0
Chile,CHL,2016,0
Chile,CHL,2017,24
Chile,CHL,2018,48
Chile,CHL,2019,39.7
Chile,CHL,2020,40
China,CHN,1990,29.3
China,CHN,1995,26.3
China,CHN,2000,21.7
China,CHN,2001,21.7
China,CHN,2002,21.7
China,CHN,2003,21.7
China,CHN,2004,21.7
China,CHN,2005,21.7
China,CHN,2006,21.7
China,CHN,2007,21.7
China,CHN,2008,24.8
China,CHN,2009,24.8
China,CHN,2010,24.1
China,CHN,2011,26.2
China,CHN,2012,26.2
China,CHN,2013,26
China,CHN,2014,25.95
China,CHN,2015,25.75
China,CHN,2016,25.75
China,CHN,2017,25.75
China,CHN,2018,25.75
China,CHN,2019,26
China,CHN,2020,26
Costa Rica,CRI,1990,0
Costa Rica,CRI,1995,55
Costa Rica,CRI,2000,145
Costa Rica,CRI,2001,145
Costa Rica,CRI,2002,144.7
Costa Rica,CRI,2003,162.7
Costa Rica,CRI,2004,165.7
