Entity,Code,Year,Wind Generation - TWh,Solar Generation - TWh,Geo Biomass Other - TWh,Hydro Generation - TWh
Africa,,1965,0,0,0,13.90563517
Africa,,1966,0,0,0,15.51000414
Africa,,1967,0,0,0,16.19063636
Africa,,1968,0,0,0,18.93834056
Africa,,1969,0,0,0,22.10088962
Africa,,1970,0,0,0,27.63042982
Africa,,1971,0,0,0.164,26.0133909
Africa,,1972,0,0,0.165,29.63319642
Africa,,1973,0,0,0.17,31.34570755
Africa,,1974,0,0,0.175,35.66707429
Africa,,1975,0,0,0.172,37.71796997
Africa,,1976,0,0,0.185,41.79763324
Africa,,1977,0,0,0.189,45.92876812
Africa,,1978,0,0,0.195,46.30693874
Africa,,1979,0,0,0.201,49.56523298
Africa,,1980,0,0,0.207,48.31178436
Africa,,1981,0,0,0.218,50.19290606
Africa,,1982,0,0,0.236,50.20623713
Africa,,1983,0,0,0.23,45.24716006
Africa,,1984,0,0,0.234,44.48997332
Africa,,1985,0,0,0.269,49.44968505
Africa,,1986,0,0,0.659,51.1453733
Africa,,1987,0,0,0.658,49.05646031
Africa,,1988,0,0,0.626,53.59345636
Africa,,1989,0,0,0.617,56.27621477
Africa,,1990,0,0,0.808,57.25465912
Africa,,1991,0,0,0.824,60.65148841
Africa,,1992,0,0,0.85425,57.86029168
Africa,,1993,0.002,0,0.9397,56.68250727
Africa,,1994,0.0054,0,0.837,57.59604857
Africa,,1995,0.0063,0,1.0207,59.76887687
Africa,,1996,0.0071,0,1.260093088,62.31645867
Africa,,1997,0.0072,0,1.388640408,63.85249756
Africa,,1998,0.0076,0,1.714549286,66.65488788
Africa,,1999,0.0198,0,1.696124799,70.68426132
Africa,,2000,0.1755,0.011941,2.269063158,75.24581662
Africa,,2001,0.41558,0.01496,2.335352632,80.86411472
Africa,,2002,0.443584,0.01787101,2.2864,85.18146813
Africa,,2003,0.535599,0.02132901,2.6224,82.87260146
Africa,,2004,0.768280505,0.02576101,2.978849535,87.40546926
Africa,,2005,0.780382111,0.03067601,3.009669408,89.06573418
Africa,,2006,0.852565606,0.03895701,3.770404784,92.24435301
Africa,,2007,1.016223364,0.051533293,3.142048288,95.34056181
Africa,,2008,1.311778131,0.073232202,3.267395686,97.15720925
Africa,,2009,1.589230939,0.096152927,3.56272219,99.7611369
Africa,,2010,2.284582434,0.21252075,3.825406558,107.4268326
Africa,,2011,2.386503939,0.601454301,3.929656611,110.444821
Africa,,2012,2.51563024,0.994443126,4.085024546,110.9523002
Africa,,2013,3.593447303,0.78891014,4.4308941,117.6388464
Africa,,2014,5.060072834,1.93770017,5.521055906,123.7267948
Africa,,2015,8.910686283,3.592173384,7.191202122,120.1678361
Africa,,2016,11.17637067,5.12019689,7.281251193,116.7188052
Africa,,2017,12.4577741,6.902446607,7.653766329,125.8165222
Africa,,2018,14.77072335,8.295433824,8.097891299,133.140498
Africa,,2019,18.85772913,10.90690156,8.22808243,137.2155108
Africa,,2020,21.78984307,12.40778213,8.068135119,142.5749961
Algeria,DZA,1965,0,0,0,0.4
Algeria,DZA,1966,0,0,0,0.355
Algeria,DZA,1967,0,0,0,0.41
Algeria,DZA,1968,0,0,0,0.563
Algeria,DZA,1969,0,0,0,0.361
Algeria,DZA,1970,0,0,0,0.58
Algeria,DZA,1971,0,0,0,0.33
Algeria,DZA,1972,0,0,0,0.495
Algeria,DZA,1973,0,0,0,0.752
Algeria,DZA,1974,0,0,0,0.497
Algeria,DZA,1975,0,0,0,0.328
Algeria,DZA,1976,0,0,0,0.389
Algeria,DZA,1977,0,0,0,0.269
Algeria,DZA,1978,0,0,0,0.25
Algeria,DZA,1979,0,0,0,0.291
Algeria,DZA,1980,0,0,0,0.257
Algeria,DZA,1981,0,0,0,0.366
Algeria,DZA,1982,0,0,0,0.479
Algeria,DZA,1983,0,0,0,0.235
Algeria,DZA,1984,0,0,0,0.452
Algeria,DZA,1985,0,0,0,0.646
Algeria,DZA,1986,0,0,0,0.25
Algeria,DZA,1987,0,0,0,0.499
Algeria,DZA,1988,0,0,0,0.183
Algeria,DZA,1989,0,0,0,0.226
Algeria,DZA,1990,0,0,0,0.135
Algeria,DZA,1991,0,0,0,0.293
Algeria,DZA,1992,0,0,0,0.199
Algeria,DZA,1993,0,0,0,0.353
Algeria,DZA,1994,0,0,0,0.166
Algeria,DZA,1995,0,0,0,0.193
Algeria,DZA,1996,0,0,0,0.135
Algeria,DZA,1997,0,0,0,0.075
Algeria,DZA,1998,0,0,0,0.215
Algeria,DZA,1999,0,0,0,0.203
Algeria,DZA,2000,0,0,0,0.054
Algeria,DZA,2001,0,0,0,0.069
Algeria,DZA,2002,0,0,0,0.057
Algeria,DZA,2003,0,0,0,0.265
Algeria,DZA,2004,0,0,0,0.251
Algeria,DZA,2005,0,0,0,0.5553
Algeria,DZA,2006,0,0,0,0.2176
Algeria,DZA,2007,0,0,0,0.226
Algeria,DZA,2008,0,0,0,0.283
Algeria,DZA,2009,0,0,0,0.342
Algeria,DZA,2010,0,0.0091,0,0.173
Algeria,DZA,2011,0,0.01811875,0,0.378
Algeria,DZA,2012,0,0.026723014,0,0.389
Algeria,DZA,2013,0,0.0286,0,0.099
Algeria,DZA,2014,0.001,0.06,0,0.193
