Entity,Code,Year,Electricity from wind (TWh),Electricity from hydro (TWh),Electricity from solar (TWh),Electricity from other renewables including bioenergy (TWh)
Afghanistan,AFG,2000,0,0.31,0,0
Afghanistan,AFG,2001,0,0.5,0,0
Afghanistan,AFG,2002,0,0.56,0,0
Afghanistan,AFG,2003,0,0.63,0,0
Afghanistan,AFG,2004,0,0.56,0,0
Afghanistan,AFG,2005,0,0.59,0,0
Afghanistan,AFG,2006,0,0.64,0,0
Afghanistan,AFG,2007,0,0.75,0,0
Afghanistan,AFG,2008,0,0.54,0,0
Afghanistan,AFG,2009,0,0.78,0,0
Afghanistan,AFG,2010,0,0.75,0,0
Afghanistan,AFG,2011,0,0.6,0,0
Afghanistan,AFG,2012,0,0.71,0.03,0
Afghanistan,AFG,2013,0,0.86,0.03,0
Afghanistan,AFG,2014,0,0.97,0.03,0
Afghanistan,AFG,2015,0,1,0.03,0
Afghanistan,AFG,2016,0,1.02,0.04,0
Afghanistan,AFG,2017,0,1.05,0.04,0
Afghanistan,AFG,2018,0,0.93,0.04,0
Afghanistan,AFG,2019,0,0.84,0.04,0
Afghanistan,AFG,2020,0,0.62,0.04,0
Africa,,2000,0.23,74.51,0,2.58
Africa,,2001,0.46,81.21,0,2.62
Africa,,2002,0.43,83.4,0.02,2.52
Africa,,2003,0.61,81.69,0.02,2.79
Africa,,2004,0.78,86.54,0.02,3.26
Africa,,2005,0.83,88.72,0.02,3.62
Africa,,2006,0.87,91.92,0.03,3.64
Africa,,2007,1.18,93.99,0.04,3.53
Africa,,2008,1.29,95.63,0.05,3.9
Africa,,2009,1.7,98.68,0.07,4.18
Africa,,2010,2.37,109.5,0.41,4.61
Africa,,2011,2.43,110.57,0.5,4.8
Africa,,2012,2.37,111.66,0.65,5.09
Africa,,2013,3.55,116.88,0.74,5.72
Africa,,2014,5.59,122.18,1.86,9.52
Africa,,2015,8.58,120.03,2.91,10.88
Africa,,2016,10.47,119.05,4.21,10.01
Africa,,2017,11.54,124.99,5.6,9.85
Africa,,2018,15.73,130.67,7.15,9.45
Africa,,2019,17.47,132.43,7.86,9.85
Africa,,2020,17,139.46,8.33,9.89
Albania,ALB,1990,0,2.85,0,0
Albania,ALB,1991,0,3.52,0,0
Albania,ALB,1992,0,3.23,0,0
Albania,ALB,1993,0,3.31,0,0
Albania,ALB,1994,0,3.77,0,0
Albania,ALB,1995,0,4.2,0,0
Albania,ALB,1996,0,5.73,0,0
Albania,ALB,1997,0,5.03,0,0
Albania,ALB,1998,0,4.92,0,0
Albania,ALB,1999,0,5.28,0,0
Albania,ALB,2000,0,4.59,0,0
Albania,ALB,2001,0,3.56,0,0
Albania,ALB,2002,0,3.51,0,0
Albania,ALB,2003,0,4.89,0,0
Albania,ALB,2004,0,5.47,0,0
Albania,ALB,2005,0,5.37,0,0
Albania,ALB,2006,0,5.43,0,0
Albania,ALB,2007,0,2.79,0,0
Albania,ALB,2008,0,3.8,0,0
Albania,ALB,2009,0,5.2,0,0
Albania,ALB,2010,0,7.57,0,0
Albania,ALB,2011,0,4.13,0,0
Albania,ALB,2012,0,4.72,0,0
Albania,ALB,2013,0,6.96,0,0
Albania,ALB,2014,0,4.72,0,0
Albania,ALB,2015,0,5.89,0,0
Albania,ALB,2016,0,7.78,0,0
Albania,ALB,2017,0,4.52,0,0
Albania,ALB,2018,0,8.55,0,0
Albania,ALB,2019,0,5.18,0.02,0
Albania,ALB,2020,0,5.28,0.03,0
Algeria,DZA,1965,0,0.4,0,0
Algeria,DZA,1966,0,0.355,0,0
Algeria,DZA,1967,0,0.41,0,0
Algeria,DZA,1968,0,0.563,0,0
Algeria,DZA,1969,0,0.361,0,0
Algeria,DZA,1970,0,0.58,0,0
Algeria,DZA,1971,0,0.33,0,0
Algeria,DZA,1972,0,0.495,0,0
Algeria,DZA,1973,0,0.752,0,0
Algeria,DZA,1974,0,0.497,0,0
Algeria,DZA,1975,0,0.328,0,0
Algeria,DZA,1976,0,0.389,0,0
Algeria,DZA,1977,0,0.269,0,0
Algeria,DZA,1978,0,0.25,0,0
Algeria,DZA,1979,0,0.291,0,0
Algeria,DZA,1980,0,0.257,0,0
Algeria,DZA,1981,0,0.366,0,0
Algeria,DZA,1982,0,0.479,0,0
Algeria,DZA,1983,0,0.235,0,0
Algeria,DZA,1984,0,0.452,0,0
Algeria,DZA,1985,0,0.646,0,0
Algeria,DZA,1986,0,0.25,0,0
Algeria,DZA,1987,0,0.499,0,0
Algeria,DZA,1988,0,0.183,0,0
Algeria,DZA,1989,0,0.226,0,0
Algeria,DZA,1990,0,0.135,0,0
Algeria,DZA,1991,0,0.293,0,0
Algeria,DZA,1992,0,0.199,0,0
Algeria,DZA,1993,0,0.353,0,0
Algeria,DZA,1994,0,0.166,0,0
Algeria,DZA,1995,0,0.193,0,0
Algeria,DZA,1996,0,0.135,0,0
Algeria,DZA,1997,0,0.075,0,0
Algeria,DZA,1998,0,0.215,0,0
Algeria,DZA,1999,0,0.203,0,0
Algeria,DZA,2000,0,0.05,0,0
Algeria,DZA,2001,0,0.07,0,0
Algeria,DZA,2002,0,0.06,0,0
Algeria,DZA,2003,0,0.26,0,0
Algeria,DZA,2004,0,0.25,0,0
Algeria,DZA,2005,0,0.55,0,0
Algeria,DZA,2006,0,0.22,0,0
Algeria,DZA,2007,0,0.22,0,0
Algeria,DZA,2008,0,0.28,0,0
Algeria,DZA,2009,0,0.3,0,0
Algeria,DZA,2010,0,0.17,0,0
Algeria,DZA,2011,0,0.5,0,0
Algeria,DZA,2012,0,0.62,0,0
Algeria,DZA,2013,0,0.33,0,0
Algeria,DZA,2014,0,0.25,0,0
Algeria,DZA,2015,0.02,0.14,0.06,0
Algeria,DZA,2016,0.03,0.22,0.09,0
Algeria,DZA,2017,0.01,0.06,0.57,0
Algeria,DZA,2018,0.01,0.12,0.65,0
Algeria,DZA,2019,0.01,0.15,0.68,0
Algeria,DZA,2020,0.01,0.09,0.68,0
American Samoa,ASM,2000,0,0,0,0
American Samoa,ASM,2001,0,0,0,0
American Samoa,ASM,2002,0,0,0,0
American Samoa,ASM,2003,0,0,0,0
American Samoa,ASM,2004,0,0,0,0
American Samoa,ASM,2005,0,0,0,0
American Samoa,ASM,2006,0,0,0,0
American Samoa,ASM,2007,0,0,0,0
American Samoa,ASM,2008,0,0,0,0
American Samoa,ASM,2009,0,0,0,0
American Samoa,ASM,2010,0,0,0,0
American Samoa,ASM,2011,0,0,0,0
American Samoa,ASM,2012,0,0,0,0
American Samoa,ASM,2013,0,0,0,0
American Samoa,ASM,2014,0,0,0,0
American Samoa,ASM,2015,0,0,0,0
American Samoa,ASM,2016,0,0,0,0
American Samoa,ASM,2017,0,0,0,0
American Samoa,ASM,2018,0,0,0,0
American Samoa,ASM,2019,0,0,0,0
American Samoa,ASM,2020,0,0,0,0
Angola,AGO,2000,0,0.9,0,0
Angola,AGO,2001,0,1.01,0,0
Angola,AGO,2002,0,1.13,0,0
Angola,AGO,2003,0,1.23,0,0
Angola,AGO,2004,0,1.73,0,0
Angola,AGO,2005,0,2.2,0,0
Angola,AGO,2006,0,2.64,0,0
Angola,AGO,2007,0,2.47,0,0
Angola,AGO,2008,0,3.1,0,0
Angola,AGO,2009,0,3.06,0,0
Angola,AGO,2010,0,3.67,0.01,0
Angola,AGO,2011,0,3.97,0.01,0
Angola,AGO,2012,0,3.73,0.01,0
Angola,AGO,2013,0,4.72,0.01,0
Angola,AGO,2014,0,4.99,0.02,1.14
Angola,AGO,2015,0,5.04,0.02,1.15
Angola,AGO,2016,0,5.76,0.02,1.2
Angola,AGO,2017,0,7.58,0.02,0.17
Angola,AGO,2018,0,8.65,0.02,0.17
Angola,AGO,2019,0,9.03,0.02,0.25
Angola,AGO,2020,0,10.08,0.02,0.25
Antigua and Barbuda,ATG,2000,0,0,0,0
Antigua and Barbuda,ATG,2001,0,0,0,0
Antigua and Barbuda,ATG,2002,0,0,0,0
Antigua and Barbuda,ATG,2003,0,0,0,0
Antigua and Barbuda,ATG,2004,0,0,0,0
Antigua and Barbuda,ATG,2005,0,0,0,0
Antigua and Barbuda,ATG,2006,0,0,0,0
Antigua and Barbuda,ATG,2007,0,0,0,0
Antigua and Barbuda,ATG,2008,0,0,0,0
Antigua and Barbuda,ATG,2009,0,0,0,0
Antigua and Barbuda,ATG,2010,0,0,0,0
Antigua and Barbuda,ATG,2011,0,0,0,0
Antigua and Barbuda,ATG,2012,0,0,0,0
Antigua and Barbuda,ATG,2013,0,0,0,0
Antigua and Barbuda,ATG,2014,0,0,0,0
Antigua and Barbuda,ATG,2015,0,0,0.01,0
